,_id,lat,lng,name,oficina_principal,totalOffices
407,5d231e0ae0aeedf6e06cd9da,40.760283,-73.972262,SEO Expert,"{'type': 'Point', 'coordinates': [-73.972262, 40.760283]}",1.0
408,5d231e0ae0aeedf6e06cb740,40.737284,-73.955432,Dadaphile,"{'type': 'Point', 'coordinates': [-73.955432, 40.737284]}",1.0
409,5d231e0ae0aeedf6e06cb604,40.717248,-74.002662,Boonty,"{'type': 'Point', 'coordinates': [-74.002662, 40.717248]}",1.0
410,5d231e0ae0aeedf6e06ccf22,40.7619759,-73.9725773,iPerceptions,"{'type': 'Point', 'coordinates': [-73.9725773, 40.7619759]}",2.0
411,5d231e0ae0aeedf6e06cd2e2,40.762897,-73.974714,Rhxo Technology Group,"{'type': 'Point', 'coordinates': [-73.974714, 40.762897]}",1.0
412,5d231e0ae0aeedf6e06cc315,40.762251,-73.9723688,Travelzoo,"{'type': 'Point', 'coordinates': [-73.9723688, 40.762251]}",1.0
413,5d231e0ae0aeedf6e06cb32c,40.7473113,-73.9549182,Songza,"{'type': 'Point', 'coordinates': [-73.9549182, 40.7473113]}",1.0
414,5d231e0ae0aeedf6e06cb9fc,40.76096,-73.969237,E*Trade,"{'type': 'Point', 'coordinates': [-73.969237, 40.76096]}",1.0
415,5d231e0ae0aeedf6e06cd99f,40.7615818,-73.970624,Americanlisted,"{'type': 'Point', 'coordinates': [-73.970624, 40.7615818]}",1.0
416,5d231e0ae0aeedf6e06ccd5f,40.7166822,-74.005398,Pilotlite,"{'type': 'Point', 'coordinates': [-74.005398, 40.7166822]}",1.0
417,5d231e0ae0aeedf6e06cc5dc,40.7286261,-73.9555369,Frogmetrics,"{'type': 'Point', 'coordinates': [-73.9555369, 40.7286261]}",1.0
418,5d231e0ae0aeedf6e06cc371,40.7286261,-73.9555369,Frogmetrics,"{'type': 'Point', 'coordinates': [-73.9555369, 40.7286261]}",1.0
419,5d231e0ae0aeedf6e06ccf57,40.7645772,-73.9799007,Unison Technologies,"{'type': 'Point', 'coordinates': [-73.9799007, 40.7645772]}",1.0
